,Team ID,Team Name,Team Mascot,Team Win Record,Team Loss Record
208,278,Fresno State,Bulldogs,11,11
209,2440,Nevada,Wolf Pack,15,9
210,167,New Mexico,Lobos,6,15
211,21,San Diego State,Aztecs,20,4
212,23,San José St,Spartans,5,15
213,2439,UNLV,Rebels,11,14
214,328,Utah State,Aggies,18,7
215,2751,Wyoming,Cowboys,13,10
216,2803,Bryant,Bulldogs,15,5
217,2115,Central Connecticut,Blue Devils,5,16
218,161,Fairleigh Dickinson,Knights,9,15
219,112358,Long Island University,Sharks,9,9
220,2771,Merrimack,Warriors,9,9
221,116,Mount St. Mary's,Mountaineers,11,10
222,2529,Sacred Heart,Pioneers,9,9
223,2597,St. Francis (BKN),Terriers,9,10
224,2598,St. Francis (PA),Red Flash,6,16
225,2681,Wagner,Seahawks,13,7
226,2046,Austin Peay,Governors,14,13
227,2057,Belmont,Bruins,26,4
228,2197,Eastern Illinois,Panthers,9,18
229,2198,Eastern Kentucky,Colonels,22,7
230,55,Jacksonville State,Gamecocks,18,9
231,2413,Morehead State,Eagles,23,7
232,93,Murray State,Racers,13,13
233,2565,SIU Edwardsville,Cougars,9,17
234,2546,Southeast Missouri State,Redhawks,11,16
235,2634,Tennessee State,Tigers,4,19
236,2635,Tennessee Tech,Golden Eagles,5,22
237,2630,UT Martin,Skyhawks,8,16
238,9,Arizona State,Sun Devils,10,13
239,12,Arizona,Wildcats,17,9
240,25,California,Golden Bears,8,19
241,38,Colorado,Buffaloes,20,7
242,2483,Oregon,Ducks,19,5
243,204,Oregon State,Beavers,14,12
244,24,Stanford,Cardinal,14,12
245,26,UCLA,Bruins,17,8
246,30,USC,Trojans,21,6
247,254,Utah,Utes,11,12
248,264,Washington,Huskies,5,20
249,265,Washington State,Cougars,14,12
250,44,American,Eagles,4,6
251,349,Army,Black Knights,12,8
252,104,Boston University,Terriers,7,11
253,2083,Bucknell,Bison,5,6
254,2142,Colgate,Raiders,12,1
255,107,Holy Cross,Crusaders,5,11
256,322,Lafayette,Leopards,9,6
257,2329,Lehigh,Mountain Hawks,4,11
258,2352,Loyola (MD),Greyhounds,5,10
259,2426,Navy,Midshipmen,15,3
260,333,Alabama,Crimson Tide,21,6
261,8,Arkansas,Razorbacks,21,5
