,Team Name,Team Mascot,Team Win Record,Team Loss Record
320,Georgia State,Panthers,16,5
321,Little Rock,Trojans,11,15
322,Louisiana,Ragin' Cajuns,17,9
323,South Alabama,Jaguars,17,11
324,Texas State,Bobcats,18,7
325,Troy,Trojans,11,17
326,UL Monroe,Warhawks,7,19
327,UT Arlington,Mavericks,13,13
328,BYU,Cougars,19,5
329,Gonzaga,Bulldogs,24,0
330,Loyola Marymount,Lions,13,9
331,Pacific,Tigers,9,9
332,Pepperdine,Waves,12,11
333,Portland,Pilots,6,15
334,Saint Mary's,Gaels,14,8
335,San Diego,Toreros,3,11
336,San Francisco,Dons,11,14
337,Santa Clara,Broncos,12,8
338,California Baptist,Lancers,13,9
339,Chicago State,Cougars,0,9
340,Dixie State,Trailblazers,8,13
341,Grand Canyon,Antelopes,15,6
342,New Mexico State,Aggies,10,7
343,Seattle U,Redhawks,11,10
344,Tarleton,Texans,10,10
345,UT Rio Grande Valley,Vaqueros,9,9
346,Utah Valley,Wolverines,11,10
